doc_id	Relation_Type	Identifier_1	Identifier_2	Novelty
10402574	Negative_Correlation	D008055	D003327	No
11005078	Negative_Correlation	D012254	D019698	Novel
11005078	Negative_Correlation	D019259	D019694	No
11005078	Negative_Correlation	D019259	D006509	No
11005078	Negative_Correlation	D012254	D006521	No
11005078	Negative_Correlation	D019698	D012254	No
11005078	Negative_Correlation	D019259	D006509	Novel
15328534	Association	367	D011471	No
15328534	Association	367	D011471	Novel
15328534	Association	D011471	367	No
15753205	Positive_Correlation	C499823	1240	Novel
15753205	Negative_Correlation	D015118	D007249	No
15753205	Negative_Correlation	D015118	D002318	No
15753205	Negative_Correlation	C499823	D010538	Novel
15753205	Positive_Correlation	C499823	D015118	No
15753205	Association	3593	1240	Novel
15753205	Association	D005228	D002318	No
15753205	Negative_Correlation	C499823	D007249	Novel
15753205	Negative_Correlation	D005228	D002318	No
15753205	Negative_Correlation	C499823	3593	Novel
15753205	Positive_Correlation	C499823	D014316	Novel
15883199	Association	D013433	3960	Novel
15883199	Association	D008055	3960	Novel
15883199	Association	D013433	D008055	Novel
15896775	Negative_Correlation	5599	3725	Novel
15896775	Negative_Correlation	C432165	3725	Novel
15896775	Negative_Correlation	C093973	5599	No
15896775	Negative_Correlation	3725	6885	Novel
15896775	Association	5599	6885	Novel
15896775	Negative_Correlation	C090942	5599	No
15896775	Negative_Correlation	C432165	5599	No
15939762	Association	1956	D009369	No
15939762	Association	C032881	1956	Novel
15939762	Association	D010712	55750	Novel
15939762	Association	D050178	55750	No
15939762	Association	D004075	55750	No
15939762	Association	D009369	1950	Novel
15939762	Positive_Correlation	C032881	5595	Novel
15939762	Positive_Correlation	D010712	D004075	No
15939762	Positive_Correlation	C032881	D004075	No
15939762	Positive_Correlation	55750	1950	Novel
15939762	Conversion	D010712	D004075	No
15939762	Conversion	C032881	D004075	No
15939762	Association	D010743	D009369	No
15939762	Positive_Correlation	C032881	D050178	No
15939762	Positive_Correlation	55750	1956	Novel
15939762	Association	C032881	D011471	Novel
15939762	Positive_Correlation	55750	5594	Novel
15939762	Association	D010712	D009369	No
15939762	Conversion	D010712	D050178	No
15939762	Positive_Correlation	C032881	5594	Novel
15939762	Conversion	C032881	D050178	No
15939762	Association	C032881	D009369	No
15939762	Positive_Correlation	D010712	D050178	No
