Relation Type	Presion	Recall	F1_Score	name_run
ChemicalEntity|ChemicalEntity|Association:	0.410958904110	0.306122448980	0.350877192982	run2
ChemicalEntity|ChemicalEntity|Bind:	0.000000000000	0.000000000000	0.0	run1
ChemicalEntity|ChemicalEntity|Comparison:	0.500000000000	0.230769230769	0.315789473684	run2
ChemicalEntity|ChemicalEntity|Conversion:	0.700000000000	0.538461538462	0.608695652174	run2
ChemicalEntity|ChemicalEntity|Cotreatment:	0.912698412698	0.684523809524	0.78231292517	run3
ChemicalEntity|ChemicalEntity|Drug_Interaction:	0.000000000000	0.000000000000	0.0	run1
ChemicalEntity|ChemicalEntity|Negative_Correlation:	0.431034482759	0.833333333333	0.568181818182	run2
ChemicalEntity|ChemicalEntity|Positive_Correlation:	0.666666666667	0.827586206897	0.738461538462	run1
ChemicalEntity|DiseaseOrPhenotypicFeature|Association:	0.231884057971	0.355555555556	0.280701754386	run2
ChemicalEntity|DiseaseOrPhenotypicFeature|Bind:	0.000000000000	0.000000000000	0.0	run1
ChemicalEntity|DiseaseOrPhenotypicFeature|Cotreatment:	0.000000000000	0.000000000000	0.0	run1
ChemicalEntity|DiseaseOrPhenotypicFeature|Drug_Interaction:	0.000000000000	0.000000000000	0.0	run1
ChemicalEntity|DiseaseOrPhenotypicFeature|Negative_Correlation:	0.749435665914	0.759725400458	0.754545454545	run1
ChemicalEntity|DiseaseOrPhenotypicFeature|Positive_Correlation:	0.552763819095	0.443548387097	0.492170022371	run3
ChemicalEntity|GeneOrGeneProduct|Association:	0.474012474012	0.558823529412	0.512935883015	run3
ChemicalEntity|GeneOrGeneProduct|Bind:	0.807692307692	0.466666666667	0.591549295775	run3
ChemicalEntity|GeneOrGeneProduct|Cotreatment:	0.333333333333	0.500000000000	0.4	run3
ChemicalEntity|GeneOrGeneProduct|Drug_Interaction:	0.000000000000	0.000000000000	0.0	run1
ChemicalEntity|GeneOrGeneProduct|Negative_Correlation:	0.676470588235	0.829896907216	0.74537037037	run1
ChemicalEntity|GeneOrGeneProduct|Positive_Correlation:	0.657894736842	0.738007380074	0.695652173913	run1
ChemicalEntity|SequenceVariant|Association:	0.625000000000	0.357142857143	0.454545454545	run2
ChemicalEntity|SequenceVariant|Bind:	0.000000000000	0.000000000000	0.0	run1
ChemicalEntity|SequenceVariant|Negative_Correlation:	0.593750000000	0.231707317073	0.333333333333	run3
ChemicalEntity|SequenceVariant|Positive_Correlation:	0.315789473684	0.150000000000	0.203389830508	run4
DiseaseOrPhenotypicFeature|GeneOrGeneProduct|Association:	0.580568720379	0.776545166403	0.664406779661	run1
DiseaseOrPhenotypicFeature|GeneOrGeneProduct|Bind:	0.000000000000	0.000000000000	0.0	run1
DiseaseOrPhenotypicFeature|GeneOrGeneProduct|Negative_Correlation:	0.352112676056	0.342465753425	0.347222222222	run2
DiseaseOrPhenotypicFeature|GeneOrGeneProduct|Positive_Correlation:	0.301075268817	0.102189781022	0.152588555858	run2
DiseaseOrPhenotypicFeature|SequenceVariant|Association:	0.298342541436	0.397058823529	0.340694006309	run1
DiseaseOrPhenotypicFeature|SequenceVariant|Negative_Correlation:	0.647058823529	0.564102564103	0.602739726027	run2
DiseaseOrPhenotypicFeature|SequenceVariant|Positive_Correlation:	0.649305555556	0.563253012048	0.603225806452	run1
GeneOrGeneProduct|GeneOrGeneProduct|Association:	0.497142857143	0.469424460432	0.482886216466	run2
GeneOrGeneProduct|GeneOrGeneProduct|Bind:	0.475409836066	0.367088607595	0.414285714286	run3
GeneOrGeneProduct|GeneOrGeneProduct|Cotreatment:	0.000000000000	0.000000000000	0.0	run1
GeneOrGeneProduct|GeneOrGeneProduct|Negative_Correlation:	0.515789473684	0.453703703704	0.48275862069	run3
GeneOrGeneProduct|GeneOrGeneProduct|Positive_Correlation:	0.509578544061	0.689119170984	0.5859030837	run2
