Identity_Type	Identifier
ChemicalEntity	D014867
DiseaseOrPhenotypicFeature	D002292
DiseaseOrPhenotypicFeature	D009369
ChemicalEntity	D025101
ChemicalEntity	D011732
ChemicalEntity	D006710
ChemicalEntity	D012694
ChemicalEntity	D003540
ChemicalEntity	D003545
ChemicalEntity	D005492
ChemicalEntity	D008094
ChemicalEntity	D010100
ChemicalEntity	D007501
ChemicalEntity	D008345
ChemicalEntity	D010710
ChemicalEntity	D006639
OrganismTaxon	9606
DiseaseOrPhenotypicFeature	D002289
GeneOrGeneProduct	29126
DiseaseOrPhenotypicFeature	D009362
DiseaseOrPhenotypicFeature	D064420
ChemicalEntity	D002945
DiseaseOrPhenotypicFeature	D058186
DiseaseOrPhenotypicFeature	D051436
CellLine	CVCL_2144
OrganismTaxon	10116
GeneOrGeneProduct	25365
GeneOrGeneProduct	25661
GeneOrGeneProduct	24525
GeneOrGeneProduct	316033
DiseaseOrPhenotypicFeature	D006984
ChemicalEntity	D017239
GeneOrGeneProduct	55636
DiseaseOrPhenotypicFeature	D058747
DiseaseOrPhenotypicFeature	D030342
DiseaseOrPhenotypicFeature	D000013
DiseaseOrPhenotypicFeature	D015619
DiseaseOrPhenotypicFeature	D006330
DiseaseOrPhenotypicFeature	D009421
DiseaseOrPhenotypicFeature	D006330
DiseaseOrPhenotypicFeature	D009421
SequenceVariant	c|SUB|C|7012|T
SequenceVariant	p|SUB|Q|2338|
SequenceVariant	c|DEL|7868|C
SequenceVariant	p|FS|P|2623|R|16
SequenceVariant	c|SUB|C|5405-3|G
SequenceVariant	c|SUB|T|6936+2|C
SequenceVariant	c|SUB|A|8077-2|G
DiseaseOrPhenotypicFeature	D017116
ChemicalEntity	D009020
DiseaseOrPhenotypicFeature	D000699
DiseaseOrPhenotypicFeature	D059350
ChemicalEntity	D009270
DiseaseOrPhenotypicFeature	D010146
DiseaseOrPhenotypicFeature	D001416
GeneOrGeneProduct	467
DiseaseOrPhenotypicFeature	D001943
ChemicalEntity	D013629
ChemicalEntity	C010223
CellLine	CVCL_VQ68
